description,deaths
 Taxi and cab drivers and chauffeurs,134
 Security guards and related occupations,104
 Care workers and home carers,70
 Van drivers,66
 Elementary storage occupations,63
 Large goods vehicle drivers,60
 Bus and coach drivers,53
 Elementary process plant occupations n.e.c.,52
 Chefs,49
 Sales and retail assistants,43
" Postal workers, mail sorters, messengers and couriers",37
" Vehicle technicians, mechanics and electricians",36
 Elementary construction occupations,36
 Cleaners and domestics,34
" Food, drink and tobacco process operatives",32
